epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2864,0.84073,1.5451,1.25116,0.85813,0.81468,0.84828,0.59315,1.07969,1.18653,1.34951,0.0700647,0.00332615,0.00332615
2,106.224,0.79092,0.99963,1.19036,0.89351,0.84617,0.89843,0.5993,1.21362,0.94745,1.4635,0.037867,0.00446185,0.00446185
3,159.426,0.75763,0.90473,1.17872,0.92418,0.83157,0.89177,0.63143,1.02625,0.88175,1.3202,0.0034694,0.00339756,0.00339756
