epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8624,0.84073,1.5451,1.25116,0.85813,0.81468,0.84828,0.59315,1.07969,1.18653,1.34951,0.0700647,0.00332615,0.00332615
2,108.049,0.81838,1.02842,1.2057,0.8482,0.81057,0.86808,0.62796,1.02316,1.01047,1.30391,0.0392405,0.00583537,0.00583537
3,161.669,0.85242,0.99914,1.2292,0.87693,0.79342,0.83874,0.50404,1.42261,1.1224,1.75119,0.00759143,0.00751959,0.00751959
4,215.432,0.8503,0.95818,1.23279,0.91721,0.80988,0.87542,0.62294,1.08448,0.9128,1.40035,0.0062875,0.0062875,0.0062875
5,269.168,0.79565,0.85711,1.20477,0.91933,0.81998,0.89454,0.70547,0.83044,0.74216,1.16642,0.00505,0.00505,0.00505
6,323.204,0.72893,0.77215,1.16569,0.93149,0.82934,0.89028,0.68208,0.87877,0.71441,1.21103,0.0038125,0.0038125,0.0038125
7,377.083,0.69067,0.71186,1.14558,0.95778,0.84388,0.91556,0.73904,0.6939,0.65998,1.09502,0.002575,0.002575,0.002575
8,431.041,0.63462,0.65377,1.12231,0.97447,0.84647,0.92158,0.77182,0.61902,0.58099,1.04656,0.0013375,0.0013375,0.0013375
